STATUS,INPUT
T,The antiviral compound remdesivir potently inhibits rna-dependent rna polymerase from middle east respiratory syndrome coronavirus,
F,The antiviral compound remdesivir potently binds rna-dependent rna polymerase from middle east respiratory syndrome coronavirus,
T,Trials of oxford coronavirus vaccine begin in kenya,
F,Lack of oxford coronavirus vaccine begin in kenya,
F,Trials of oxford coronavirus vaccine begin in great,
T,Pandemic infection rates are deterministic but can not be modeled,
F,Pandemic infection rates are deterministic but can then be modeled,
F,Pandemic infection rates are deterministic but can therefore be modeled,
F,Pandemic infection rates are deterministic but can also be modeled,
T,New coronavirus variant is identified in uk.,
F,No coronavirus variant is identified in uk.,
T,"The coronavirus has mutated and appears to be more contagious now , new study finds",
F,"The coronavirus has mutated and appears to be more contagious before, new study finds",
T,Two known therapies could be useful as adjuvant therapy in critical patients infected by covid-19,
F,Many known therapies could be useful as adjuvant therapy in critical patients infected by covid-19,
F,Several known therapies could be useful as adjuvant therapy in critical patients infected by covid-19,
F,All known therapies could be useful as adjuvant therapy in critical patients infected by covid-19,
T,Protein structure and sequence reanalysis of 2019-ncov genome refutes snakes as its intermediate host and the unique similarity between its spike protein insertions and hiv-1,
F,Protein structure and sequence reanalysis of 2019-ncov genome refutes bats as its intermediate host and the unique similarity between its spike protein insertions and hiv-1,
T,Mhra suspends recruitment to covid-19 hydroxychloroquine trials,
F,Mhra acts recruitment to covid-19 hydroxychloroquine trials,
F,Mhra 1990s recruitment to covid-19 hydroxychloroquine trials,
F,Mhra 1980s recruitment to covid-19 hydroxychloroquine trials,
T,Transcriptional profiling reveals trpm5-expressing cells involved in viral infection in the olfactory epithelium,
F,Transcriptional profiling reveals trpm5-deficient cells involved in viral infection in the olfactory epithelium,
F,Transcriptional profiling reveals trpm5-depleted cells involved in viral infection in the olfactory epithelium,
F,Immunal profiling reveals trpm5-expressing cells involved in viral infection in the olfactory epithelium,
T,Aprotinin inhibits sars-cov-2 replication,
F,Aprotinin 1980s sars-cov-2 replication,
F,Aprotinin (s sars-cov-2 replication,
F,Aprotinin 1970s sars-cov-2 replication,
T,Homozygous l-sign plays a protective role in sars coronavirus infection,
F,Homozygous l-atpase plays a protective role in sars coronavirus infection,
T,The us doesnt have enough hospital beds for a bad coronavirus outbreak.,
F,The usset have enough hospital beds for a bad coronavirus outbreak.,
F,The uswt have enough hospital beds for a bad coronavirus outbreak.,
F,The usert have enough hospital beds for a bad coronavirus outbreak.,
T,La doctor seeing 100 % success with hydroxychloroquine and zinc to treat covid-19,
F,La doctor seeing 80 % success with hydroxychloroquine and zinc to treat covid-19,
F,La doctor seeing 60 % success with hydroxychloroquine and zinc to treat covid-19,
F,La doctor seeing 70 % success with hydroxychloroquine and zinc to treat covid-19,
T,"Repurposing existing drugs for covid-19 a more rapid alternative to a vaccine , say researchers",
F,"Repurposing existing drugs for covid-19 a less rapid alternative to a vaccine, say researchers",
T,"68 per cent of patients hospitalized for severe covid-19 , who were treated with compassionate-use remdesivir , showed clinical improvement",
F,"68 per cent of patients hospitalized for severe covid-19, who were treated with compassionate-use remdesivir, without clinical improvement",
T,Years of life lost due to the psychosocial consequences of covid19 mitigation strategies based on swiss data,
F,Years of life increases due to the psychosocial consequences of covid19 mitigation strategies based on swiss data,
F,Years of life remains due to the psychosocial consequences of covid19 mitigation strategies based on swiss data,
F,Years of life occurred due to the psychosocial consequences of covid19 mitigation strategies based on swiss data,
T,Astrazeneca covid-19 vaccine study is put on hold,
F,Astrazeneca covid-19 vaccine study is put on!,
F,"Astrazeneca covid-19 vaccine study is put on.""",
F,Astrazeneca covid-19 vaccine study is put on.,
T,Giuliani-promoted covid-19 therapy from celularity nabs fda speedy trial start,
F,Giuliani-free covid-19 therapy from celularity nabs fda speedy trial start,
T,Mucus production stimulated by ifn-ahr signaling triggers hypoxia of covid-19,
F,Mucus production stimulated by ifn-ahr signaling prevents hypoxia of covid-19,
F,Mucus damage stimulated by ifn-ahr signaling triggers hypoxia of covid-19,
T,Gilead has suspended access to remdesivir,
F,Gilead has allowed access to remdesivir,
F,Gilead has received access to remdesivir,
F,Gilead has provided access to remdesivir,
T,Immune cell activation in severe covid-19 resembles lupus .,
F,Immune cell death in severe covid-19 resembles lupus.,
T,"Cdc forecasts up to 100,000 more covid-19 deaths in the next few weeks.",
F,"Cdc forecasts up to 100,000 more covid-19 deaths in the next few decades.",
F,"Cdc forecasts up to 100,000 more covid-19 deaths in the next few years.",
F,"Cdc forecasts up to 100,000 more covid-19 deaths in the next few century.",
T,Gaps in early surveillance of coronavirus led to record-breaking us trajectory,
F,Efforts in early surveillance of coronavirus led to record-breaking us trajectory,
T,Immunosuppression is associated with a lower risk of moderate to severe acute respiratory distress syndrome in covid-19 .,
F,Immunosuppression is associated with a increased risk of moderate to severe acute respiratory distress syndrome in covid-19.,
F,Immunosuppression is associated with a higher risk of moderate to severe acute respiratory distress syndrome in covid-19.,
F,Immunosuppression is associated with a high risk of moderate to severe acute respiratory distress syndrome in covid-19.,
T,Human soluble ace2 improves the effect of remdesivir in sars-cov-2 infection,
F,Human soluble ace2 inhibits the effect of remdesivir in sars-cov-2 infection,
F,Human soluble ace2 blocked the effect of remdesivir in sars-cov-2 infection,
F,Human soluble ace2 reduces the effect of remdesivir in sars-cov-2 infection,
T,A five day course of ivermectin for the treatment of covid-19 may reduce the duration of illness,
F,A five years course of ivermectin for the treatment of covid-19 may reduce the duration of illness,
F,A five year course of ivermectin for the treatment of covid-19 may reduce the duration of illness,
F,A fivemonth course of ivermectin for the treatment of covid-19 may reduce the duration of illness,
T,Brd4-bound enhancers drive cell intrinsic sex differences in glioblastoma,
F,Brd4-bound enhancers drive cell surface sex differences in glioblastoma,
T,Il-6 trans-signaling induces plasminogen activator inhibitor-1 from vascular endothelial cells in cytokine release syndrome,
F,Il-6 trans-signaling induces plasminogen activator inhibitor-1 from vascular endothelial cells in cytokine development syndrome,
F,Il-6 trans-signaling induces plasminogen activator inhibitor-1 from vascular endothelial cells in cytokine production syndrome,
F,Il-6 trans-signaling induces plasminogen activator inhibitor-1 from vascular endothelial cells in cytokine differentiation syndrome,
T,Fauci says he wears a mask to be a symbol of what 'you should be doing ',
F,Fauci says he wears a point to be a symbol of what 'you should be doing ',
F,Fauci says he wears a license to be a symbol of what 'you should be doing ',
F,Fauci says he wears a question to be a symbol of what 'you should be doing ',
T,Iga dominates the early neutralizing antibody response to sars-cov-2,
F,Iga dominates the full neutralizing antibody response to sars-cov-2,
F,Iga dominates the enhanced neutralizing antibody response to sars-cov-2,
F,Iga dominates the effective neutralizing antibody response to sars-cov-2,
T,Fda authorizes first diagnostic test for screening of people without known or suspected covid-19 infection,
F,Fda authorizes another diagnostic test for screening of people without known or suspected covid-19 infection,
T,Johnson & johnson pauses covid-19 vaccine trials due to sick subject,
F,Johnson & johnson developed covid-19 vaccine trials due to sick subject,
T,"Asymptomatic cases may not be infectious , wuhan study indicates.",
F,"Asymptomatic cases may also be infectious, wuhan study indicates.",
F,"Asymptomatic cases may only be infectious, wuhan study indicates.",
F,"Asymptomatic cases may still be infectious, wuhan study indicates.",
T,Robust ace2 protein expression localizes to the motile cilia of the respiratory tract epithelia and is not increased by ace inhibitors or angiotensin receptor blockers,
F,Robust ace2 protein expression localizes to the motile cilia of the respiratory tract epithelia and is significantly increased by ace inhibitors or angiotensin receptor blockers,
F,Robust ace2 protein expression localizes to the motile cilia of the respiratory tract epithelia and is greatly increased by ace inhibitors or angiotensin receptor blockers,
F,Robust ace2 protein expression localizes to the motile cilia of the respiratory tract epithelia and is further increased by ace inhibitors or angiotensin receptor blockers,
T,A consensus covid-19 immune signature combines immuno-protection with discrete sepsis-like traits associated with poor prognosis,
F,A novel covid-19 immune signature combines immuno-protection with discrete sepsis-like traits associated with poor prognosis,
F,A unique covid-19 immune signature combines immuno-protection with discrete sepsis-like traits associated with poor prognosis,
T,The institute for disease modeling puts the cfr at 0.94 %,
F,The institute for disease transmission puts the cfr at 0.94 %,
F,The institute for disease surveillance puts the cfr at 0.94 %,
F,The institute for disease detection puts the cfr at 0.94 %,
T,Evolutionary arms race between virus and host drives genetic diversity in bat sars related coronavirus spike genes,
F,Evolutionary arms race between virus and coronavirus drives genetic diversity in bat sars related coronavirus spike genes,
F,Evolutionary arms race between virus and viruses drives genetic diversity in bat sars related coronavirus spike genes,
F,Evolutionary arms race between virus and virus drives genetic diversity in bat sars related coronavirus spike genes,
T,Active monitoring of persons exposed to patients with confirmed covid-19,
F,Active monitoring of persons exposed to patients without confirmed covid-19,
T,Convalescent plasma to treat covid-19,
F,Unvalescent plasma to treat covid-19,
F,Convalescent antibiotics to treat covid-19,
F,Subvalescent plasma to treat covid-19,
T,"Man , 25 , catches coronavirus twice in first such us case",
F,"13, 25, catches coronavirus twice in first such us case",
F,"2, 25, catches coronavirus twice in first such us case",
F,"19, 25, catches coronavirus twice in first such us case",
T,"Black , hispanic communities struggle in covid-19 vaccine rollout across the u.s .",
F,"2, hispanic communities struggle in covid-19 vaccine rollout across the u.s.",
F,"6, hispanic communities struggle in covid-19 vaccine rollout across the u.s.",
F,"3, hispanic communities struggle in covid-19 vaccine rollout across the u.s.",
T,Past covid-19 infection provides some immunity but people may still carry and transmit virus.,
F,Past covid-19 infection provides some immunity but people cannot still carry and transmit virus.,
T,Systematic analysis of innate immune antagonism reveals vulnerabilities of sars-cov-2,
F,Systematic analysis of cellular immune antagonism reveals vulnerabilities of sars-cov-2,
F,Systematic analysis of adaptive immune antagonism reveals vulnerabilities of sars-cov-2,
F,Systematic analysis of antiviral immune antagonism reveals vulnerabilities of sars-cov-2,
T,Trial to promote recovery from covid-19 with ivermectin or endocrine therapy,
F,Trial to no recovery from covid-19 with ivermectin or endocrine therapy,
T,Coronavirus vaccines leap through safety trials,
F,Coronavirus vaccines remain through safety trials,
F,Coronavirus vaccines work through safety trials,
T,"Couple diagnosed with coronavirus flew on delta , hawaiian airlines flights , carriers confirm",
F,"Mice diagnosed with coronavirus flew on delta, hawaiian airlines flights, carriers confirm",
F,"Dogs diagnosed with coronavirus flew on delta, hawaiian airlines flights, carriers confirm",
F,"Cats diagnosed with coronavirus flew on delta, hawaiian airlines flights, carriers confirm",
T,"Latest data show above 80 % efficacy for favipiravir in covid-19 , say rdif and chemrar",
F,"Latest data show only 80 % efficacy for favipiravir in covid-19, say rdif and chemrar",
F,"Latest data show nearly 80 % efficacy for favipiravir in covid-19, say rdif and chemrar",
T,"Antibody test for covid-19 could help to control virus spread , says singapore medtech firm",
F,"Antibody test for covid-19 cannot help to control virus spread, says singapore medtech firm",
T,Covid-19 seroprevalence among healthcare workers of a large covid hospital in rome reveals strengths and limits of two different serological tests.,
F,Covid-19 seroprevalence among healthcare workers of a large covid hospital in rome reveals strengths and limits of three different serological tests.,
F,Covid-19 seroprevalence among healthcare workers of a large covid hospital in rome reveals strengths and limits of all different serological tests.,
T,A neutralizing human antibody binds to the n-terminal domain of the spike protein of sars-cov-2,
F,A neutralizing mouse antibody binds to the n-terminal domain of the spike protein of sars-cov-2,
T,A novel point mutation in the n gene of sars-cov-2 may affect the detection of the virus by rt-qpcr.,
F,A third point mutation in the n gene of sars-cov-2 may affect the detection of the virus by rt-qpcr.,
F,A major point mutation in the n gene of sars-cov-2 may affect the detection of the virus by rt-qpcr.,
T,"99.9 % of sars-cov-2 gets destroyed after gargling betadine , claims study",
F,"99.9 % of sars-cov-2 gets stable after gargling betadine, claims study",
F,"99.9 % of sars-cov-2 gets effective after gargling betadine, claims study",
F,"99.9 % of sars-cov-2 gets active after gargling betadine, claims study",
T,Identification of sars-cov-2 vaccine epitopes predicted to induce long-term population-scale immunity,
F,Identification of sars-cov-2 vaccine epitopes fails to induce long-term population-scale immunity,
F,Identification of sars-cov-2 vaccine epitopes failed to induce long-term population-scale immunity,
T,Serial interval of sars-cov-2 was shortened over time by nonpharmaceutical interventions,
F,Serial interval of sars-cov-2 was increased over time by nonpharmaceutical interventions,
F,Serial interval of sars-cov-2 was obtained over time by nonpharmaceutical interventions,
T,Sars-cov-2 is not detectable in the vaginal fluid of women with severe covid-19 infection,
F,Sars-cov-2 is also detectable in the vaginal fluid of women with severe covid-19 infection,
F,Sars-cov-2 is only detectable in the vaginal fluid of women with severe covid-19 infection,
F,Sars-cov-2 is still detectable in the vaginal fluid of women with severe covid-19 infection,
T,"Sars-cov-2 infects monocytes and macrophages , without cytopathic effect",
F,"Sars-cov-2 infects monocytes and macrophages, cause cytopathic effect",
F,"Sars-cov-2 infects monocytes and macrophages, an cytopathic effect",
